2019-11-12 17:39:12,317 [Thread-26] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext [AbstractApplicationContext.java : 993] - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@53416a41: startup date [Tue Nov 12 17:25:09 CST 2019]; root of context hierarchy
2019-11-12 17:39:12,324 [Thread-26] INFO  o.s.c.s.DefaultLifecycleProcessor [DefaultLifecycleProcessor.java : 369] - Stopping beans in phase 0
2019-11-12 17:39:12,325 [Thread-26] INFO  o.s.i.endpoint.EventDrivenConsumer [EventDrivenConsumer.java : 107] - Removing {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
2019-11-12 17:39:12,327 [Thread-26] INFO  o.s.i.c.PublishSubscribeChannel [AbstractSubscribableChannel.java : 64] - Channel 'application.errorChannel' has 0 subscriber(s).
2019-11-12 17:39:12,327 [Thread-26] INFO  o.s.i.endpoint.EventDrivenConsumer [AbstractEndpoint.java : 199] - stopped _org.springframework.integration.errorLogger
2019-11-12 17:39:12,332 [Thread-26] INFO  o.s.s.c.ThreadPoolTaskScheduler [ExecutorConfigurationSupport.java : 208] - Shutting down ExecutorService 'taskScheduler'
2019-11-12 17:39:12,333 [Thread-26] INFO  o.s.j.e.a.AnnotationMBeanExporter [MBeanExporter.java : 451] - Unregistering JMX-exposed beans on shutdown
2019-11-12 17:39:12,335 [Thread-26] INFO  o.s.j.e.a.AnnotationMBeanExporter [MBeanRegistrationSupport.java : 185] - Unregistering JMX-exposed beans
2019-11-12 17:39:12,339 [Thread-26] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java : 381] - HikariPool-1 - Shutdown initiated...
2019-11-12 17:39:12,374 [Thread-26] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java : 383] - HikariPool-1 - Shutdown completed.
2019-11-12 17:39:12,744 [restartedMain] INFO  com.fyy.YiShang.AppMainStarter [AppMainStarter.java : 15] - App to Start ...
2019-11-12 17:39:51,927 [restartedMain] INFO  com.fyy.YiShang.AppMainStarter [StartupInfoLogger.java : 50] - Starting AppMainStarter on fyy-DJ-C-H310M-E-D3 with PID 31475 (/home/fyy/IdeaProjects/YiShang/YiShang_main/target/classes started by fyy in /home/fyy/IdeaProjects/YiShang)
2019-11-12 17:39:51,929 [restartedMain] INFO  com.fyy.YiShang.AppMainStarter [SpringApplication.java : 680] - No active profile set, falling back to default profiles: default
2019-11-12 17:39:51,933 [restartedMain] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext [AbstractApplicationContext.java : 590] - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@3e0bcb16: startup date [Tue Nov 12 17:39:51 CST 2019]; root of context hierarchy
2019-11-12 17:39:52,185 [restartedMain] INFO  o.s.i.config.IntegrationRegistrar [IntegrationRegistrar.java : 349] - No bean named 'integrationHeaderChannelRegistry' has been explicitly defined. Therefore, a default DefaultHeaderChannelRegistry will be created.
2019-11-12 17:39:52,223 [restartedMain] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor [DefaultConfiguringBeanFactoryPostProcessor.java : 130] - No bean named 'errorChannel' has been explicitly defined. Therefore, a default PublishSubscribeChannel will be created.
2019-11-12 17:39:52,223 [restartedMain] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor [DefaultConfiguringBeanFactoryPostProcessor.java : 158] - No bean named 'taskScheduler' has been explicitly defined. Therefore, a default ThreadPoolTaskScheduler will be created.
2019-11-12 17:39:52,226 [restartedMain] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor [AutowiredAnnotationBeanPostProcessor.java : 153] - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
